,Date,Time,Day,Duration (hrs),avgCCV,maxCCV,Followers,Views,Title
26,2022-01-05,19:51:00,Wednesday,7.2,80,150,9,0,Horror Game Night (i fixed it)
27,2022-01-04,22:07:00,Tuesday,1.3,63,86,-1,0,Horror Game Night
28,2022-01-04,01:10:00,Tuesday,2.7,65,85,4,0,late night testing
29,2022-01-02,04:23:00,Sunday,2.0,52,69,0,0,late night bing chilling
30,2022-01-01,00:06:00,Saturday,3.1,52,77,1,0,BUILDING STUFF + NYE COUNTDOWN (sponsored by voodoo ranger)
31,2021-12-25,19:03:00,Saturday,4.3,60,68,-8,0,Merry Xmas!
32,2021-12-24,23:34:00,Friday,3.7,85,102,3,0,Xmas Countdown
33,2021-12-02,01:49:00,Thursday,4.3,85,108,15,0,chill late night stream
34,2021-11-30,19:33:00,Tuesday,1.5,74,91,2,0,COME GET SOME HOLIDAY CHEER (sponsored by voodoo ranger)
35,2021-11-25,18:08:00,Thursday,4.6,103,134,22,0,Idiot Spends Thxgiving Alone (sponsored by voodoo ranger)
36,2021-11-19,12:27:00,Friday,4.3,100,141,201,0,lmao we did it bois
37,2021-11-17,00:30:00,Wednesday,2.3,93,115,14,0,AFTERHOURS-ADULTS ONLY-GET IN
38,2021-11-10,20:28:00,Wednesday,5.3,87,125,13,0,BUILDING THINGS TONIGHT
39,2021-11-08,13:47:00,Monday,4.5,162,220,169,0,"Travis Scott, more like Travis dumb guy"
40,2021-11-01,21:42:00,Monday,2.0,93,109,-1,0,"Native Americans, lets talk about them"
41,2021-10-30,22:58:00,Saturday,2.1,101,126,3,0,"Talk to me, just chillin tonight (sponsored by voodoo ranger)"
42,2021-10-27,21:28:00,Wednesday,5.3,98,163,19,0,Chat Being Toxic While I Build New Furniture
43,2021-10-26,23:01:00,Tuesday,3.0,117,142,7,0,1st Cooking Stream (sponsored by voodoo ranger)
44,2021-10-14,21:53:00,Thursday,2.5,102,118,5,0,I become a MAN today
45,2021-10-09,21:53:00,Saturday,3.2,100,124,22,0,Huge Win Today For The New Home
46,2021-10-06,19:05:00,Wednesday,4.0,104,142,18,0,New Apartment Housewarming Stream!
47,2021-09-29,17:55:00,Wednesday,4.2,113,169,32,0,My Last Stream From Home!
48,2021-09-23,00:00:00,Thursday,4.2,117,152,25,0,I'M MOVING BOIS (sponsored by voodoo ranger)
49,2021-09-19,04:08:00,Sunday,1.1,44,62,8,0,Pokemon Pack vs. Pack w/ Gus Johnson
50,2021-09-18,00:28:00,Saturday,2.9,122,141,56,0,Pokemon Pack vs. Pack w/ Gus Johnson
51,2021-09-16,22:56:00,Thursday,3.3,130,153,34,0,classic nighttime chill stream
52,2021-09-15,19:58:00,Wednesday,3.6,79,175,38,0,My First GTA5 Playthrough
53,2021-09-12,22:08:00,Sunday,0.1,0,0,0,0,"GTA 5, my first playthrough"
54,2021-09-12,01:51:00,Sunday,7.0,276,685,132,0,Nightstream - First time playing GTA 5 (day 3)
55,2021-09-11,05:00:00,Saturday,2.2,326,521,88,0,Super Late Night - First time playing GTA 5 (day 2)
56,2021-09-10,02:38:00,Friday,5.1,278,599,120,0,Late Night - First time playing GTA 5
57,2021-09-09,22:19:00,Thursday,1.4,72,90,12,0,chill night stream
58,2021-09-04,18:12:00,Saturday,2.5,191,540,97,0,What's happening in Texas
59,2021-09-02,22:51:00,Thursday,3.0,56,88,31,0,Raft - Day 1 w/ ALL THE BOYS
60,2021-08-31,23:01:00,Tuesday,1.4,131,161,27,0,the gang does mukbang (sponsored by voodoo ranger)
61,2021-08-30,03:34:00,Monday,4.0,55,70,13,0,late night chillin
62,2021-08-29,17:44:00,Sunday,3.3,71,99,10,0,Chat plays Who Wants To Be A Millionaire
63,2021-08-27,22:07:00,Friday,3.1,76,95,7,0,Wtf are NFT's?
